item_id,name,value
154,Area,Heel Amsterdam
154,Type,Uitgangspunt
154,Level,Tactisch Niveau
154,Source,Mobiliteitsaanpak Amsterdam (2013)
155,Theme,8. Parkeren - Auto
155,Area,Heel Amsterdam
155,Type,Uitgangspunt
155,Level,Tactisch Niveau
155,Source,Mobiliteitsaanpak Amsterdam (2013)
156,Theme,1. Openbare Ruimte Algemeen
156,Area,Heel Amsterdam
156,Type,Advies
156,Level,Strategisch Niveau
156,Source,Leidraad Cvc (2020)
157,Theme,3. Netwerken & Profielen
157,Area,Heel Amsterdam
157,Type,Advies
157,Level,Tactisch Niveau
157,Source,Leidraad Cvc (2020)
158,Theme,3. Netwerken & Profielen
158,Area,Heel Amsterdam
158,Type,Advies
158,Level,Tactisch Niveau
158,Source,Leidraad Cvc (2020)
159,Theme,6. Openbaar Vervoer
159,Area,Heel Amsterdam
159,Type,Advies
159,Level,Tactisch Niveau
159,Source,Leidraad Cvc (2020)
160,Theme,8. Parkeren - Auto
160,Theme,7. Auto
160,Area,Heel Amsterdam
160,Type,Advies
160,Level,Operationeel Niveau
160,Source,Leidraad Cvc (2020)
161,Theme,6. Openbaar Vervoer
161,Area,Heel Amsterdam
161,Type,Advies
161,Level,Operationeel Niveau
161,Source,Leidraad Cvc (2020)
162,Theme,11. Openbare Verlichting
162,Theme,4. Voetganger
162,Area,Heel Amsterdam
162,Type,Advies
162,Level,Operationeel Niveau
162,Source,Leidraad Cvc (2020)
163,Theme,5. Fiets
163,Area,Heel Amsterdam
163,Type,Advies
163,Level,Operationeel Niveau
163,Source,Leidraad Cvc (2020)
164,Theme,3. Netwerken & Profielen
164,Area,Heel Amsterdam
164,Type,Advies
164,Level,Operationeel Niveau
164,Source,Leidraad Cvc (2020)
165,Theme,3. Netwerken & Profielen
165,Area,Heel Amsterdam
165,Type,Advies
165,Level,Operationeel Niveau
165,Source,Leidraad Cvc (2020)
166,Theme,4. Voetganger
166,Area,Heel Amsterdam
166,Type,Advies
166,Level,Operationeel Niveau
166,Source,Leidraad Cvc (2020)
167,Theme,4. Voetganger
167,Area,Heel Amsterdam
167,Type,Advies
167,Level,Operationeel Niveau
167,Source,Leidraad Cvc (2020)
168,Theme,3. Netwerken & Profielen
168,Area,Heel Amsterdam
168,Type,Advies
168,Level,Tactisch Niveau
168,Source,Leidraad Cvc (2020)
169,Theme,5. Fiets
169,Area,Heel Amsterdam
169,Type,Advies
169,Level,Operationeel Niveau
169,Source,Leidraad Cvc (2020)
170,Theme,3. Netwerken & Profielen
170,Area,Heel Amsterdam
170,Type,Advies
170,Level,Operationeel Niveau
170,Source,Leidraad Cvc (2020)
171,Theme,15. Civiele Constructies & Tunnels
171,Area,Heel Amsterdam
171,Type,Advies
171,Level,Operationeel Niveau
171,Source,Leidraad Cvc (2020)
172,Theme,16. Ondergrond
172,Area,Heel Amsterdam
172,Type,Advies
172,Level,Operationeel Niveau
172,Source,Leidraad Cvc (2020)
173,Theme,9. Verhardingen
173,Theme,8. Parkeren - Auto
173,Area,Heel Amsterdam
173,Type,Advies
173,Level,Operationeel Niveau
173,Source,Leidraad Cvc (2020)
174,Theme,7. Auto
174,Theme,3. Netwerken & Profielen
174,Area,Heel Amsterdam
174,Type,Advies
174,Level,Operationeel Niveau
174,Source,Leidraad Cvc (2020)
175,Theme,12. Groen
175,Theme,3. Netwerken & Profielen
175,Area,Heel Amsterdam
175,Type,Advies
175,Level,Operationeel Niveau
175,Source,Leidraad Cvc (2020)
176,Theme,5. Fiets
176,Area,Heel Amsterdam
176,Type,Advies
176,Level,Operationeel Niveau
176,Source,Leidraad Cvc (2020)
177,Theme,5. Fiets
177,Area,Heel Amsterdam
177,Type,Advies
177,Level,Operationeel Niveau
177,Source,Leidraad Cvc (2020)
178,Theme,15. Civiele Constructies & Tunnels
178,Area,Heel Amsterdam
178,Type,Advies
178,Level,Operationeel Niveau
178,Source,Leidraad Cvc (2020)
179,Theme,4. Voetganger
179,Area,Heel Amsterdam
179,Type,Advies
179,Level,Operationeel Niveau
179,Source,Leidraad Cvc (2020)
180,Theme,4. Voetganger
180,Area,Heel Amsterdam
180,Type,Advies
180,Level,Operationeel Niveau
180,Source,Leidraad Cvc (2020)
181,Theme,10. Straatmeubilair
181,Area,Heel Amsterdam
181,Type,Advies
181,Level,Proces
181,Source,Leidraad Cvc (2020)
182,Theme,10. Straatmeubilair
182,Area,Heel Amsterdam
182,Type,Advies
182,Level,Operationeel Niveau
182,Source,Leidraad Cvc (2020)
183,Theme,3. Netwerken & Profielen
183,Area,Heel Amsterdam
183,Type,Advies
183,Level,Proces
183,Source,Leidraad Cvc (2020)
184,Theme,5. Fiets
184,Area,Heel Amsterdam
184,Type,Uitgangspunt
184,Level,Tactisch Niveau
184,Source,Kader Fietsparkeren (2015)
185,Theme,5. Fiets
185,Area,Heel Amsterdam
185,Type,Uitgangspunt
185,Level,Tactisch Niveau
185,Source,Kader Fietsparkeren (2015)
186,Theme,5. Fiets
186,Area,Heel Amsterdam
186,Type,Randvoorwaarde
186,Level,Proces
186,Source,Kader Fietsparkeren (2015)
187,Theme,2. Structuur & Stedenbouwkunde
187,Area,Centrum
187,Type,Advies
187,Level,Strategisch Niveau
187,Source,"(Voormalig) Hior Centrum (2009, Vervallen 2016)"
188,Theme,1. Openbare Ruimte Algemeen
188,Theme,10. Straatmeubilair
188,Theme,3. Netwerken & Profielen
188,Area,Centrum
188,Type,Advies
188,Level,Operationeel Niveau
188,Source,"(Voormalig) Hior Centrum (2009, Vervallen 2016)"
189,Theme,1. Openbare Ruimte Algemeen
189,Theme,10. Straatmeubilair
189,Theme,9. Verhardingen
189,Area,Centrum
189,Type,Advies
189,Level,Operationeel Niveau
189,Source,"(Voormalig) Hior Centrum (2009, Vervallen 2016)"
190,Theme,1. Openbare Ruimte Algemeen
190,Theme,10. Straatmeubilair
190,Theme,9. Verhardingen
190,Area,Centrum
190,Type,Advies
190,Level,Operationeel Niveau
190,Source,"(Voormalig) Hior Centrum (2009, Vervallen 2016)"
191,Theme,1. Openbare Ruimte Algemeen
191,Theme,10. Straatmeubilair
191,Area,Centrum
191,Type,Advies
191,Level,Operationeel Niveau
191,Source,"(Voormalig) Hior Centrum (2009, Vervallen 2016)"
192,Theme,1. Openbare Ruimte Algemeen
192,Area,Centrum
192,Type,Advies
192,Level,Operationeel Niveau
192,Source,"(Voormalig) Hior Centrum (2009, Vervallen 2016)"
193,Theme,12. Groen
193,Area,Centrum
193,Type,Advies
193,Level,Operationeel Niveau
193,Source,"(Voormalig) Hior Centrum (2009, Vervallen 2016)"
194,Theme,12. Groen
194,Area,Centrum
194,Type,Advies
194,Level,Operationeel Niveau
194,Source,"(Voormalig) Hior Centrum (2009, Vervallen 2016)"
195,Theme,12. Groen
195,Area,Centrum
195,Type,Advies
195,Level,Operationeel Niveau
195,Source,"(Voormalig) Hior Centrum (2009, Vervallen 2016)"
196,Theme,14. Water & Oevers
196,Area,Centrum
196,Type,Advies
196,Level,Operationeel Niveau
196,Source,"(Voormalig) Hior Centrum (2009, Vervallen 2016)"
197,Theme,14. Water & Oevers
197,Area,Centrum
197,Type,Advies
197,Level,Operationeel Niveau
