item_id,name,value
35,Image,"Visie openbare ruimte - fietsers, voetgangers, verblijvers.jpg"
35,Image,"Visie openbare ruimte - stadsstraat, van der Pekstraat.jpg"
35,Link,Onderzoeksrapport Stadsstraten Amsterdam (2017).pdf
35,Link,Inrichtingsprincipes voor een autoluwe stad.pdf
35,SourceLink,Visie Openbare Ruimte (2017)
36,Image,groen 2 (v).jpg
36,Image,groen 3 (v).jpg
36,Image,groen 4 (v).jpg
36,Link,Inrichtingsprincipes voor een autoluwe stad.pdf
36,Link,Inrichtingsprincipes Groene Pleinen (2020).pdf
36,SourceLink,Visie Openbare Ruimte (2017)
37,Image,kunst oost 1 (v).jpg
37,Image,groen 2 (v).jpg
37,Image,pleinen 1 (v).jpg
37,SourceLink,Visie Openbare Ruimte (2017)
38,Link,Handreiking hergebruik bestratingsmaterialen (2018).pdf
38,SourceLink,Visie Openbare Ruimte (2017)
39,SourceLink,Visie Openbare Ruimte (2017)
40,SourceLink,Visie Openbare Ruimte (2017)
41,Image,"Visie openbare ruimte - ruimte, overzicht, zo min mogelijk obstakels.jpg"
41,SourceLink,Visie Openbare Ruimte (2017)
42,Image,"Visie openbare ruimte - ruimte, overzicht, zo min mogelijk obstakels.jpg"
42,Link,Inrichtingsprincipes voor een autoluwe stad.pdf
42,SourceLink,Visie Openbare Ruimte (2017)
43,Image,Bewegende stad 1 (v).jpg
43,Image,Bewegende stad 2 (v).jpg
43,Image,Bewegende stad 3 (v).jpg
43,SourceLink,Visie Openbare Ruimte (2017)
44,Image,bomen 2 (v).jpg
44,Image,bomen 3 (v).jpg
44,Image,bomen 4 (v).jpg
44,SourceLink,Visie Openbare Ruimte (2017)
45,Image,stadspark 1 (v).jpg
45,Image,stadspark 2 (v).jpg
45,Image,stadspark 3 (v).jpg
45,Link,Inrichtingsprincipes Groene Pleinen (2020).pdf
45,SourceLink,Visie Openbare Ruimte (2017)
46,Image,semi openbaar 1 (v).jpg
46,SourceLink,Visie Openbare Ruimte (2017)
47,Image,Visie openbare ruimte - regenbestendig.jpg
47,SourceLink,Visie Openbare Ruimte (2017)
48,Image,ondergrond 1 (v).jpg
48,Image,ondergrond 2 (v).jpg
48,Image,ondergrond 3 (v).jpg
48,SourceLink,Visie Openbare Ruimte (2017)
49,Image,participatie 1 (v).jpg
49,Image,participatie 2 (v).jpg
49,Link,Inrichtingsprincipes voor een autoluwe stad.pdf
49,SourceLink,Visie Openbare Ruimte (2017)
50,Image,Voetganger 3 (v).jpg
50,Image,Water 6 (v).jpg
50,SourceLink,Visie op het water van de Binnenstad (2005)
51,Image,gracht 1 (v).jpg
51,Image,gracht 2 (v).jpg
51,SourceLink,Visie op het water van de Binnenstad (2005)
52,Image,aanlegplaatsen boten 1 (v).jpg
52,Image,aanlegplaatsen boten 2 (v).jpg
52,Image,aanlegplaatsen boten 3 (v).jpg
52,SourceLink,Visie op het water van de Binnenstad (2005)
53,SourceLink,Visie op het water van de Binnenstad (2005)
54,Image,woonboot 1 (v).jpg
54,Image,woonboot 2 (v).jpg
54,Image,woonboot 3 (v).jpg
54,SourceLink,Visie op het water van de Binnenstad (2005)
55,Image,Visie Groen en Blauw Amsterdam Oud-Zuid 2020 - stedenbouwkundige eenheden.jpg
55,Image,Visie Groen en Blauw Amsterdam Oud-Zuid 2020 - overgangen.jpg
55,SourceLink,Visie Groen en Blauw Amsterdam Oud-Zuid 2020 (2006)
56,Image,Zuid groen blauw 1 (v).jpg
56,Image,Zuid groen blauw 2 (v).jpg
56,SourceLink,Visie Groen en Blauw Amsterdam Oud-Zuid 2020 (2006)
57,Image,Zuid groen blauw 3 (v).jpg
57,Image,Zuid groen blauw 4 (v).jpg
